student_id,name,gender,class_level,institution_name,subjects,study_hours_per_day,weak_subjects,strong_subjects,exam_score,attendance_percentage,district,device_usage_time,preferred_study_time,historical_scores
BD00001,Rafi Ahmed,Male,University,NSU,"Chemistry, Math, Biology, Accounting",3.5,Chemistry,"Biology, Math",74.7,80.2,Sylhet,3.1,Evening,"69.6,69.4,67.9,68.4,74.7"
BD00002,Shakib Begum,Male,University,BRAC University,"Math, Chemistry, ICT, Biology, Accounting, Physics",3.3,Chemistry,Accounting,68.8,85.3,Barishal,2.9,Night,"62.8,63.3,62.8,64.2,68.8"
BD00003,Nusrat Rahman,Female,HSC,Notre Dame College,"English, Chemistry, Bangla, Accounting, Math, ICT, Physics",3.4,"Chemistry, Physics","Math, Bangla",66.5,99,Dhaka,5.7,Evening,"60.7,61.4,60.7,66.5"
BD00004,Shakib Chowdhury,Male,HSC,Holy Cross College,"Accounting, ICT, Chemistry, Math, Biology",5.1,Accounting,"Chemistry, ICT",76.4,72.4,Dhaka,4.8,Evening,"71.7,70.8,69.2,76.4"
BD00005,Arif Sarker,Male,HSC,Rajshahi College,"English, Bangla, Accounting, Physics, ICT, Math, Biology",7.1,Math,"Accounting, Biology",62.2,91.7,Dhaka,3.4,Morning,"54.8,56.0,57.7,62.2"
BD00006,Tanjila Akter,Female,HSC,Govt. M. M. City College,"English, Accounting, Physics, Biology, Math",3.6,"Accounting, English",Physics,40.5,84.1,Chattogram,2.3,Night,"31.4,30.0,28.9,40.5"
BD00007,Sadia Akter,Female,SSC,Govt. Laboratory High School,"Biology, English, ICT, Math, Accounting, Physics, Bangla",2.6,"Bangla, Biology",ICT,68.4,71.4,Gazipur,2.5,Morning,"62.9,61.9,61.5,68.4"
BD00008,Mariam Akter,Female,University,Khulna University,"Biology, Math, English, Physics, Bangla, ICT",4.1,English,"Math, ICT",64.0,67.8,Chattogram,3.1,Evening,"54.6,53.2,51.4,54.0,64.0"
BD00009,Arif Islam,Male,University,Jahangirnagar University,"Biology, Math, English, Accounting, ICT",3.7,Math,"English, ICT",69.0,68.4,Cumilla,5.4,Evening,"63.3,63.3,64.8,66.0,69.0"
BD00010,Sumaiya Chowdhury,Female,HSC,Dhaka College,"Physics, Accounting, Math, Biology, English, Bangla",4.4,"English, Math","Bangla, Accounting",60.7,83.5,Barishal,4.6,Night,"54.9,54.5,55.2,60.7"
BD00011,Mariam Sarker,Female,HSC,Notre Dame College,"Accounting, Biology, Math, Physics, ICT",2.2,"Accounting, Physics",Math,68.4,75.0,Khulna,5.7,Morning,"61.4,62.6,61.4,68.4"
BD00012,Sumaiya Chowdhury,Female,SSC,Rajshahi Collegiate School,"Bangla, Physics, Accounting, English, Math",3.8,"English, Bangla",Math,55.5,86.5,Sylhet,4.5,Night,"48.1,48.2,46.1,55.5"
BD00013,Mahmud Chowdhury,Male,SSC,Viqarunnisa Noon School and College,"Physics, Math, Chemistry, Accounting, Bangla, English",1.4,"Math, Accounting","Physics, Bangla",79.2,67.0,Dhaka,4.1,Morning,"69.9,70.8,69.3,79.2"
BD00014,Nadia Rahman,Female,SSC,Rajshahi Collegiate School,"English, ICT, Chemistry, Accounting, Physics",3.3,"English, Physics",ICT,67.6,77.5,Dhaka,5.2,Morning,"62.0,63.5,64.7,67.6"
BD00015,Mahmud Ahmed,Male,SSC,Viqarunnisa Noon School and College,"Accounting, Physics, English, ICT, Math, Chemistry, Biology",4.8,"English, Accounting",Biology,37.8,65.7,Rangpur,4.5,Morning,"33.2,32.0,30.9,37.8"
BD00016,Tanvir Hossain,Male,HSC,Dhaka College,"Accounting, English, ICT, Bangla, Physics, Chemistry, Math",3.8,Math,"ICT, Physics",85.9,78.5,Rangpur,6.0,Night,"77.6,78.0,78.0,85.9"
BD00017,Jannat Islam,Female,SSC,Dhaka Residential Model College,"Biology, English, Accounting, Bangla, Chemistry, Physics",2.8,Accounting,"Physics, Biology",78.1,74.1,Khulna,3.8,Night,"69.9,71.0,71.6,78.1"
BD00018,Karim Ahmed,Male,HSC,Govt. M. M. City College,"Accounting, Biology, English, Chemistry, Bangla",5.6,"Biology, English",Bangla,51.9,79.1,Mymensingh,3.1,Evening,"45.9,47.4,48.7,51.9"
BD00019,Karim Khan,Male,SSC,Dhaka Residential Model College,"Bangla, Physics, Math, English, ICT, Biology, Accounting",3.4,"ICT, Physics","Bangla, Accounting",65.9,65.9,Sylhet,6.9,Night,"59.0,60.6,61.6,65.9"
BD00020,Tanjila Begum,Female,HSC,Rajshahi College,"ICT, English, Biology, Bangla, Chemistry, Math, Accounting",5.1,ICT,"Math, Biology",91.3,93.9,Dhaka,2.9,Night,"89.3,89.1,88.4,91.3"
BD00021,Ayesha Rahman,Female,University,BRAC University,"Chemistry, English, Biology, Bangla, Physics, ICT",1.9,English,"Biology, Chemistry",57.6,88.7,Barishal,8.2,Evening,"49.8,49.5,50.7,51.7,57.6"
BD00022,Sabina Begum,Female,SSC,Dhaka Residential Model College,"ICT, Accounting, English, Chemistry, Biology, Bangla, Math",5.4,"Accounting, English",Bangla,84.6,94.8,Chattogram,3.5,Night,"80.7,78.9,77.5,84.6"
BD00023,Mariam Chowdhury,Female,University,Rajshahi University,"Biology, ICT, English, Math, Chemistry, Physics",7.1,"Math, Biology","English, ICT",61.4,78.3,Cumilla,5.2,Morning,"57.8,58.6,61.8,63.3,61.4"
BD00024,Mariam Chowdhury,Female,SSC,Ideal School and College,"Biology, English, Chemistry, ICT, Bangla, Physics, Accounting",2.0,"Biology, ICT","Accounting, Chemistry",75.1,81.2,Rajshahi,3.0,Evening,"72.2,72.6,70.3,75.1"
