student_id,name,gender,university_name,university_type,department,semester/year,cgpa,subjects,attendance_percentage,study_hours_per_day,weak_subjects,strong_subjects,district,device_usage_time,preferred_study_time,exam_score,historical_scores,risk_level
U00001,Tanjila Rahman,Female,BRAC University,Private,Agriculture,"Year 2, Summer",2.68,"Sustainable Development, Climate Change, Soil Science, Ecology",94.5,4.5,"Sustainable Development, Soil Science","Ecology, Climate Change",Rajshahi,4.8,Evening,64.4,"63.0,65.2,59.3,69.1,64.4",Medium
U00002,Adnan Hossain,Male,University of Liberal Arts Bangladesh,Private,Data Science,"Year 2, Summer",2.89,"Thermodynamics, Algorithms, Database Systems, Data Structures, Circuit Analysis",92.9,4.4,"Circuit Analysis, Data Structures","Thermodynamics, Algorithms",Dhaka,11.2,Evening,76.1,"77.0,75.3,71.6,72.7,76.1",Medium
U00003,Rahim Hossain,Male,United International University,Private,CSE,"Year 4, Spring",2.45,"Circuit Analysis, Data Structures, Thermodynamics, Machine Learning, Database Systems, Algorithms",64.7,3.1,"Database Systems, Circuit Analysis",Data Structures,Chattogram,5.0,Morning,59.9,"61.5,54.0,54.0,56.1,59.9",High
U00004,Tasnia Rahman,Female,East West University,Private,MIS,"Year 1, Spring",3.3,"Business Law, Marketing Strategy, Financial Accounting, Principles of Management, Microeconomics",99,7.7,"Marketing Strategy, Microeconomics","Principles of Management, Business Law",Jessore,6.0,Morning,78.0,"78.0,74.7,75.3,75.6,78.0",Low
U00005,Siam Sarker,Male,University of Liberal Arts Bangladesh,Private,Microbiology,"Year 3, Spring",3.3,"Human Anatomy, Genetics, Clinical Pharmacy, Organic Chemistry",65.9,5.6,Clinical Pharmacy,"Organic Chemistry, Genetics",Sylhet,6.9,Evening,83.9,"80.9,80.2,84.2,84.7,83.9",Medium
U00006,Rafi Ahmed,Male,BRAC University,Private,Finance,"Year 4, Spring",2.27,"Principles of Management, Microeconomics, Business Law, Financial Accounting",99,3.0,Principles of Management,Microeconomics,Narayanganj,4.8,Afternoon,60.3,"58.6,64.3,61.3,54.8,60.3",High
U00007,Sumaiya Khan,Female,Chittagong University,Public,Software Engineering,"Year 3, Fall",3.4,"Circuit Analysis, Machine Learning, Database Systems, Algorithms, Thermodynamics, Data Structures",86.6,7.3,Database Systems,Machine Learning,Tangail,7.8,Morning,84.6,"78.7,86.1,89.2,75.1,84.6",Low
U00008,Sajid Sarker,Male,Ahsanullah University of Science and Technology,Private,Microbiology,"Year 2, Summer",2.55,"Human Anatomy, Genetics, Organic Chemistry, Pharmacology",80.5,5.6,Organic Chemistry,Pharmacology,Narayanganj,7.6,Morning,61.9,"56.4,58.8,56.9,65.2,61.9",Medium
U00009,Afia Ahmed,Female,Ahsanullah University of Science and Technology,Private,Environmental Science,"Year 4, Fall",2.45,"Ecology, Climate Change, Soil Science, Sustainable Development",72.2,4.5,Sustainable Development,Ecology,Bogura,4.2,Afternoon,60.3,"60.8,55.3,57.0,61.0,60.3",High
U00010,Naeem Sarker,Male,American International University-Bangladesh,Private,Journalism,"Year 1, Fall",2.6,"Literary Criticism, Mass Communication, Ethics, History of Art",50,4.6,"Mass Communication, History of Art","Ethics, Literary Criticism",Gazipur,3.6,Morning,64.5,"66.3,59.4,63.3,56.7,64.5",High
U00011,Fariha Islam,Female,Ahsanullah University of Science and Technology,Private,History,"Year 1, Summer",4.0,"History of Art, Ethics, Literary Criticism, Mass Communication",73.6,5.1,Ethics,"Literary Criticism, Mass Communication",Khulna,3.8,Night,98.5,"88.7,99.3,100,94.2,98.5",Medium
U00012,Naeem Begum,Male,Jagannath University,Public,Agriculture,"Year 2, Fall",3.48,"Ecology, Sustainable Development, Soil Science, Climate Change",70.7,6.0,"Ecology, Sustainable Development",Soil Science,Gazipur,5.8,Morning,91.8,"89.5,84.3,83.3,96.2,91.8",Medium
U00013,Jahid Hossain,Male,United International University,Private,Marketing,"Year 3, Summer",3.16,"Principles of Management, Business Law, Marketing Strategy, Financial Accounting, Microeconomics",87.5,7.9,Principles of Management,"Marketing Strategy, Business Law",Gazipur,7.1,Afternoon,78.3,"77.7,75.5,80.4,75.1,78.3",Low
U00014,Jahid Hasan,Male,United International University,Private,AI,"Year 4, Summer",2.6,"Algorithms, Machine Learning, Database Systems, Circuit Analysis, Data Structures",96.6,8.6,Data Structures,"Database Systems, Algorithms",Khulna,7.2,Morning,61.1,"57.2,62.5,52.1,52.4,61.1",Medium
U00015,Tasnia Sarker,Female,RUET,Public,International Law,"Year 1, Summer",3.28,"Constitutional Law, Jurisprudence, Criminal Law, Civil Procedure",84.4,5.2,Civil Procedure,Constitutional Law,Dhaka,3.1,Morning,81.9,"84.5,78.7,83.3,73.3,81.9",Low
U00016,Sumaiya Hasan,Female,East West University,Private,EEE,"Year 1, Fall",2.67,"Algorithms, Database Systems, Machine Learning, Circuit Analysis",85.7,3.7,"Algorithms, Circuit Analysis","Machine Learning, Database Systems",Kushtia,1,Evening,71.2,"72.1,69.7,75.4,63.3,71.2",Medium
U00017,Fahim Sarker,Male,Chittagong University,Public,Finance,"Year 1, Summer",2.39,"Microeconomics, Marketing Strategy, Principles of Management, Financial Accounting, Business Law",92.5,5.4,"Business Law, Financial Accounting",Microeconomics,Barishal,1,Morning,61.5,"62.6,59.5,55.6,55.6,61.5",High
U00018,Raisa Ahmed,Female,Comilla University,Public,LLB,"Year 4, Spring",3.45,"Constitutional Law, Civil Procedure, Jurisprudence, Criminal Law",72.6,4.1,Civil Procedure,Constitutional Law,Cumilla,3.0,Night,82.1,"76.1,85.2,86.2,79.7,82.1",Medium
U00019,Rahim Ahmed,Male,University of Liberal Arts Bangladesh,Private,History,"Year 3, Summer",2.5,"Literary Criticism, History of Art, Ethics, Mass Communication",98.6,1,"Ethics, History of Art","Literary Criticism, Mass Communication",Dhaka,2.9,Evening,64.5,"60.0,65.2,68.2,61.4,64.5",High
U00020,Nabil Uddin,Male,Jahangirnagar University,Public,AI,"Year 1, Fall",3.28,"Database Systems, Data Structures, Machine Learning, Algorithms, Thermodynamics",74.4,3.8,Machine Learning,"Thermodynamics, Algorithms",Dhaka,4.4,Evening,86.6,"85.5,80.1,88.0,86.4,86.6",Medium
U00021,Fahim Hossain,Male,American International University-Bangladesh,Private,Software Engineering,"Year 1, Summer",2.97,"Algorithms, Thermodynamics, Machine Learning, Data Structures, Circuit Analysis, Database Systems",74.4,7.1,"Machine Learning, Thermodynamics",Data Structures,Khulna,2.2,Afternoon,77.8,"68.0,78.0,75.1,71.8,77.8",Medium
U00022,Arif Akter,Male,"Independent University, Bangladesh",Private,EEE,"Year 4, Fall",3.52,"Algorithms, Circuit Analysis, Database Systems, Machine Learning, Thermodynamics, Data Structures",76.0,1.4,"Circuit Analysis, Machine Learning","Algorithms, Database Systems",Khulna,6.6,Night,86.0,"87.7,87.5,76.3,88.8,86.0",High
U00023,Sumaiya Ahmed,Female,"Independent University, Bangladesh",Private,HRM,"Year 2, Summer",3.79,"Marketing Strategy, Principles of Management, Financial Accounting, Microeconomics, Business Law",82.7,4.6,"Business Law, Microeconomics",Financial Accounting,Khulna,5.2,Morning,97.5,"90.7,93.3,96.7,96.4,97.5",Low
U00024,Imtiaz Uddin,Male,Ahsanullah University of Science and Technology,Private,EEE,"Year 2, Summer",4.0,"Algorithms, Machine Learning, Thermodynamics, Circuit Analysis, Data Structures",75.6,4.6,Data Structures,Circuit Analysis,Rangpur,5.3,Evening,100,"92.8,99.4,100,96.9,100",Low
U00025,Nusrat Chowdhury,Female,CUET,Public,LLB,"Year 2, Spring",3.42,"Criminal Law, Constitutional Law, Civil Procedure, Jurisprudence",81.5,4.1,Jurisprudence,"Criminal Law, Civil Procedure",Rajshahi,1.6,Afternoon,89.6,"79.8,92.5,89.2,81.6,89.6",Low
U00026,Karim Uddin,Male,American International University-Bangladesh,Private,EEE,"Year 3, Summer",3.72,"Thermodynamics, Data Structures, Machine Learning, Circuit Analysis, Database Systems, Algorithms",75.8,5.0,Database Systems,Machine Learning,Cox's Bazar,7.6,Evening,97.4,"100,92.8,88.3,88.2,97.4",Low
